Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec
mart41	273.3070326	583	284338	284.338	9.477933333	121.0179434	14.2169	41.00753329	28.4338	20.50376664	56.8676	10.25188332
MartA20	158.3333333	141	168781	168.781	5.626033333	513.8611574	8.43905	16.70804178	16.8781	8.354020891	33.7562	4.177010445
marta64	235.1681818	1760	1098657	1098.657	36.6219	93.52327432	54.93285	32.03911685	109.8657	16.01955842	219.7314	8.009779212
marti 19	229.7920962	582	256656	256.656	8.5552	178.3710492	12.8328	45.35253413	25.6656	22.67626707	51.3312	11.33813353
mati45	322.4431138	501	283678	283.678	9.455933333	96.55313419	14.1839	35.32173803	28.3678	17.66086901	56.7356	8.830434507
meelis18	236.4318418	961	412164	412.164	13.7388	175.7795441	20.6082	46.63192322	41.2164	23.31596161	82.4328	11.6579808
meelis53	268.8062284	289	136471	136.471	4.549033333	94.52557686	6.82355	42.35332049	13.6471	21.17666024	27.2942	10.58833012
Mia 8	299.7846684	1161	586488	586.488	19.5496	122.2019888	29.3244	39.5916029	58.6488	19.79580145	117.2976	9.897900724
MIIKAEL 24	278.7606679	539	250050	250.05	8.335	177.8044391	12.5025	43.11137772	25.005	21.55568886	50.01	10.77784443
mikk36	238.8485714	700	326849	326.849	10.89496667	121.982934	16.34245	42.83323492	32.6849	21.41661746	65.3698	10.70830873
mikk37	239.1374172	604	229156	229.156	7.638533333	153.8253417	11.4578	52.71518092	22.9156	26.35759046	45.8312	13.17879523
MIRJAM 37	215.0960118	677	287294	287.294	9.576466667	169.6868017	14.3647	47.12942143	28.7294	23.56471071	57.4588	11.78235536
nikole34	279.2657563	952	432162	432.162	14.4054	98.71298263	21.6081	44.05755249	43.2162	22.02877625	86.4324	11.01438812
o57	349.3560831	337	197503	197.503	6.583433333	95.54285251	9.87515	34.12606391	19.7503	17.06303195	39.5006	8.531515977
OLEV 19	299.94	400	207736	207.736	6.924533333	107.4440636	10.3868	38.51041707	20.7736	19.25520853	41.5472	9.627604267
OLGA 19	224.4589041	146	56872	56.872	1.895733333	212.5826417	2.8436	51.34336756	5.6872	25.67168378	11.3744	12.83584189
olga 56	290.9435364	1346	567476	567.476	18.91586667	157.6982991	28.3738	47.43812954	56.7476	23.71906477	113.4952	11.85953239
olga38	278.3375394	2536	1055157	1055.157	35.1719	145.286436	52.75785	48.06867604	105.5157	24.03433802	211.0314	12.01716901
